Periode,Baumaterialien Holz,Hilfsmaterialien Holz,Verpackungen Holz
1_11,108.3,108.4,130.6
2_11,106.9,108.8,132.6
3_11,107.0,107.8,128.8
4_11,105.9,108.7,126.9
5_11,104.6,107.8,125.2
6_11,104.7,108.3,125.1
1_12,105.6,105.9,124.3
2_12,104.0,107.3,125.7
3_12,103.9,106.3,123.5
4_12,103.8,106.7,125.0
5_12,103.5,105.7,122.5
6_12,103.2,106.5,123.3
1_13,102.0,105.6,122.3
2_13,103.9,105.7,123.0
3_13,103.6,106.2,123.6
4_13,104.4,107.9,125.4
5_13,104.7,109.2,126.8
6_13,105.3,110.0,127.2
1_14,105.2,108.8,126.5
2_14,106.0,110.6,128.1
3_14,105.7,111.2,128.2
4_14,103.7,108.7,126.1
5_14,104.1,105.9,128.2
6_14,105.0,107.1,128.9
1_15,103.3,106.1,121.7
2_15,101.0,104.1,116.6
3_15,100.8,104.9,116.1
4_15,101.3,104.2,115.6
5_15,101.2,104.5,114.5
6_15,101.3,104.0,116.2
1_16,102.3,104.9,115.4
2_16,101.6,104.6,111.3
3_16,102.8,104.1,112.4
4_16,102.7,103.3,114.5
5_16,102.5,102.6,112.6
6_16,103.4,102.9,115.5
1_17,104.1,102.3,114.4
2_17,104.2,102.4,115.1
3_17,103.6,101.4,114.5
4_17,104.4,102.4,115.7
5_17,104.2,102.1,114.7
6_17,103.4,102.1,115.3
1_18,103.9,103.2,117.0
2_18,104.1,103.5,119.9
3_18,104.9,102.7,120.1
4_18,104.0,102.8,119.9
5_18,105.1,102.3,119.5
6_18,104.5,103.4,121.4
1_19,104.0,103.6,118.4
2_19,104.2,102.8,117.0
3_19,103.9,101.9,116.5
4_19,104.1,101.8,117.1
5_19,103.2,101.8,111.0
6_19,102.3,101.8,106.3
1_20,102.6,101.7,103.3
2_20,102.4,101.1,102.9
3_20,100.1,99.2,101.6
4_20,99.6,100.0,100.0
5_20,100.0,100.0,100.0
6_20,101.6,99.8,100.3
1_21,102.6,99.3,105.4
